Lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
55,0.54,0.57,0.60,0.63,0.64,0.72,0.74,0.69,0.61,0.55,0.58,0.62
50,0.52,0.53,0.56,0.60,0.64,0.80,0.74,0.72,0.63,0.55,0.56,0.57
45,0.55,0.58,0.60,0.66,0.69,0.79,0.77,0.67,0.64,0.58,0.57,0.58
40,0.51,0.56,0.58,0.59,0.64,0.72,0.66,0.63,0.61,0.58,0.55,0.53
35,0.48,0.55,0.55,0.63,0.65,0.75,0.67,0.66,0.62,0.57,0.51,0.48
30,0.46,0.51,0.58,0.65,0.69,0.78,0.70,0.65,0.66,0.56,0.49,0.41
25,0.44,0.56,0.65,0.73,0.82,0.70,0.68,0.66,0.61,0.59,0.55,0.46
20,0.51,0.57,0.70,0.83,0.81,0.74,0.64,0.51,0.54,0.58,0.56,0.51
15,0.59,0.64,0.68,0.77,0.73,0.68,0.64,0.59,0.57,0.54,0.58,0.58
10,0.62,0.68,0.73,0.85,0.87,0.85,0.74,0.64,0.66,0.69,0.60,0.61
5,0.65,0.71,0.73,0.69,0.66,0.63,0.57,0.53,0.58,0.61,0.62,0.61
0,0.58,0.63,0.57,0.52,0.52,0.56,0.59,0.57,0.59,0.60,0.60,0.60
-5,0.59,0.62,0.56,0.52,0.56,0.61,0.61,0.64,0.64,0.63,0.61,0.61
-10,0.52,0.55,0.49,0.51,0.57,0.65,0.66,0.68,0.70,0.67,0.57,0.53
-15,0.53,0.50,0.50,0.52,0.59,0.65,0.65,0.68,0.69,0.64,0.58,0.51
-20,0.68,0.62,0.59,0.63,0.61,0.64,0.62,0.64,0.72,0.75,0.72,0.68
-25,0.81,0.77,0.70,0.67,0.66,0.61,0.60,0.63,0.73,0.81,0.78,0.82
-30,0.84,0.85,0.77,0.72,0.63,0.59,0.60,0.63,0.70,0.81,0.77,0.84
-35,0.84,0.80,0.74,0.68,0.64,0.57,0.60,0.61,0.65,0.75,0.73,0.79
-40,0.78,0.76,0.72,0.63,0.62,0.58,0.58,0.58,0.62,0.72,0.72,0.77
-45,0.71,0.66,0.62,0.58,0.55,0.49,0.52,0.54,0.55,0.66,0.62,0.67
-50,0.74,0.67,0.67,0.61,0.56,0.51,0.53,0.56,0.56,0.62,0.69,0.70
-55,0.81,0.69,0.70,0.59,0.57,0.57,0.56,0.58,0.61,0.59,0.76,0.71
